code,region,pref,addr,name,elevation,feet,lng,lat,lat2,lng2,point,num,dates,expire,last,call,sname,selevation,sdiff,slng,slat,gsi
(Missing)JA/AC-015,"Japan - Honshu","Aichi Prefecture",JA/AC-015,865,2838,137.4794,35.2246,137.4794,35.2246,6,0,01/07/2015,31/12/2099,0,"","",Saddle-JA/AC-015(JA/AC-015),752.5,112.1,137.4761111,35.21877778,http://maps.gsi.go.jp/#15/35.2246/137.4794
(Missing)JA/AC-030,"Japan - Honshu","Aichi Prefecture",JA/AC-030,477,1565,137.3541,34.9136,137.3541,34.9136,1,0,01/07/2015,31/12/2099,0,"","",Saddle-JA/AC-030(JA/AC-030),452.5,23,137.3535556,34.91233333,http://maps.gsi.go.jp/#15/34.9136/137.3541
(Missing)JA/AC-036,"Japan - Honshu","Aichi Prefecture",JA/AC-036,330,1083,137.1574,34.8132,137.1574,34.8132,1,0,01/07/2015,31/12/2099,0,"","",Saddle-JA/AC-036(JA/AC-036),311.7,29.5,137.1525556,34.81288889,http://maps.gsi.go.jp/#15/34.8132/137.1574
(Missing)JA/AM-006,"Japan - Honshu","Aomori Prefecture",JA/AM-006,1050,3445,140.3273,40.4814,140.3273,40.4814,6,0,01/07/2015,31/12/2099,0,"","",Saddle-JA/AM-006(JA/AM-006),957.6,87.1,140.3225556,40.48088889,http://maps.gsi.go.jp/#15/40.4814/140.3273
(Missing)JA/AM-008,"Japan - Honshu","Aomori Prefecture",JA/AM-008,1020,3346,140.9988,40.7032,140.9988,40.7032,6,0,01/07/2015,31/12/2099,0,"","",Saddle-JA/AM-008(JA/AM-008),984.2,35.9,140.9986667,40.70055556,http://maps.gsi.go.jp/#15/40.7032/140.9988
(Missing)JA/AM-019,"Japan - Honshu","Aomori Prefecture",JA/AM-019,879,2884,140.1476,40.6059,140.1476,40.6059,6,0,01/07/2015,31/12/2099,0,"","",Saddle-JA/AM-019(JA/AM-019),862.9,11.8,140.1462222,40.60611112,http://maps.gsi.go.jp/#15/40.6059/140.1476
(Missing)JA/AM-024,"Japan - Honshu","Aomori Prefecture",JA/AM-024,829,2720,140.164,40.5407,140.164,40.5407,4,0,01/07/2015,31/12/2099,0,"","",Saddle-JA/AM-024(JA/AM-024),782.8,45.3,140.164,40.54233334,http://maps.gsi.go.jp/#15/40.5407/140.1640
(Missing)JA/AM-042,"Japan - Honshu","Aomori Prefecture",Hakamagoshidake,708,2323,140.5793,41.168,140.5793,41.168,4,0,01/07/2015,31/12/2099,0,"","",Saddle-Hakamagoshidake(JA/AM-042),692.9,10.1,140.5792222,41.16844445,http://maps.gsi.go.jp/#15/41.1680/140.5793
(Missing)JA/AT-023,"Japan - Honshu","Akita Prefecture",Futatsumori,1087,3566,140.1179,40.4351,140.1179,40.4351,6,0,01/07/2015,31/12/2099,0,"","",Saddle-Futatsumori(JA/AT-023),1072.6,8.6,140.1194444,40.43544444,http://maps.gsi.go.jp/#15/40.4351/140.1179
(Missing)JA/AT-046,"Japan - Honshu","Akita Prefecture",Hachimori,905,2969,140.818,40.1092,140.818,40.1092,6,0,01/07/2015,31/12/2099,0,"","",Saddle-Hachimori(JA/AT-046),886.2,16.1,140.8182222,40.11066666,http://maps.gsi.go.jp/#15/40.1092/140.8180
